,zipcode,time,year_month,count_1m_loc,count_6m_loc,count_2y_loc,count_1m_loc_time,count_6m_loc_time,count_2y_loc_time,count_1m_time,count_6m_time,count_2y_time,crimes_per_pop,crime_type
145276,90069,2,201804,0.03398058252427184,0.03637976929902396,0.038175508180466035,0.021052631578947368,0.032,0.032407407407407406,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.19363032250573534,1
147753,90071,0,201804,0.23300970873786406,0.25643300798580304,0.24789291026276647,0.14736842105263157,0.17,0.1550925925925926,0.37198879551820724,0.42225321247136166,0.4618058340686078,1716.9393488679555,1
147767,90071,1,201804,0.23300970873786406,0.25643300798580304,0.24789291026276647,0.14736842105263157,0.22,0.22511574074074073,0.6644257703081232,0.736726765614105,0.7699794123151787,1716.9393488679555,1
147781,90071,2,201804,0.23300970873786406,0.25643300798580304,0.24789291026276647,0.21052631578947367,0.188,0.19849537037037035,0.7999999999999999,0.8933160673373842,0.9935295847704607,1716.9393488679555,1
150258,90077,0,201804,0.009708737864077669,0.009760425909494233,0.010907288051561725,0.0,0.006,0.008680555555555556,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.12084674952040639,1
150272,90077,1,201804,0.009708737864077669,0.009760425909494233,0.010907288051561725,0.010526315789473684,0.01,0.010416666666666666,0.6644257703081232,0.736726765614105,0.7699794123151787,0.12084674952040639,1
150286,90077,2,201804,0.009708737864077669,0.009760425909494233,0.010907288051561725,0.010526315789473684,0.006,0.00636574074074074,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.12084674952040639,1
152763,90079,0,201804,0.17475728155339804,0.14374445430346053,0.15047099652949925,0.09473684210526316,0.092,0.08796296296296297,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.0,1
152777,90079,1,201804,0.17475728155339804,0.14374445430346053,0.15047099652949925,0.19999999999999998,0.114,0.1255787037037037,0.6644257703081232,0.736726765614105,0.7699794123151787,0.0,1
152791,90079,2,201804,0.17475728155339804,0.14374445430346053,0.15047099652949925,0.08421052631578947,0.11800000000000001,0.13773148148148148,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.0,1
155268,90094,0,201804,0.02427184466019417,0.05057675244010648,0.05552801189885969,0.021052631578947368,0.024,0.01909722222222222,0.37198879551820724,0.42225321247136166,0.4618058340686078,1.0558045776347604,1
155282,90094,1,201804,0.02427184466019417,0.05057675244010648,0.05552801189885969,0.021052631578947368,0.046,0.05150462962962963,0.6644257703081232,0.736726765614105,0.7699794123151787,1.0558045776347604,1
155296,90094,2,201804,0.02427184466019417,0.05057675244010648,0.05552801189885969,0.010526315789473684,0.044,0.059027777777777776,0.7999999999999999,0.8933160673373842,0.9935295847704607,1.0558045776347604,1
157773,90210,0,201804,0.02427184466019417,0.008873114463176575,0.00768468021814576,0.010526315789473684,0.01,0.00636574074074074,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.03672217456527295,1
157787,90210,1,201804,0.02427184466019417,0.008873114463176575,0.00768468021814576,0.031578947368421054,0.008,0.005787037037037037,0.6644257703081232,0.736726765614105,0.7699794123151787,0.03672217456527295,1
157801,90210,2,201804,0.02427184466019417,0.008873114463176575,0.00768468021814576,0.010526315789473684,0.002,0.005787037037037037,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.03672217456527295,1
160278,90211,0,201804,0.019417475728155338,0.01774622892635315,0.019583539910758552,0.0,0.004,0.009259259259259259,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.24123466070767452,1
160292,90211,1,201804,0.019417475728155338,0.01774622892635315,0.019583539910758552,0.010526315789473684,0.016,0.01273148148148148,0.6644257703081232,0.736726765614105,0.7699794123151787,0.24123466070767452,1
160306,90211,2,201804,0.019417475728155338,0.01774622892635315,0.019583539910758552,0.031578947368421054,0.02,0.02372685185185185,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.24123466070767452,1
162783,90212,0,201804,0.009708737864077669,0.008873114463176575,0.006197322756569161,0.010526315789473684,0.008,0.0028935185185185184,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.055720662555212755,1
162797,90212,1,201804,0.009708737864077669,0.008873114463176575,0.006197322756569161,0.010526315789473684,0.008,0.006944444444444444,0.6644257703081232,0.736726765614105,0.7699794123151787,0.055720662555212755,1
162811,90212,2,201804,0.009708737864077669,0.008873114463176575,0.006197322756569161,0.0,0.004,0.004629629629629629,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.055720662555212755,1
165288,90230,0,201804,0.04368932038834951,0.038154392191659274,0.044372830937035194,0.010526315789473684,0.018000000000000002,0.018518518518518517,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.14512315531418687,1
165302,90230,1,201804,0.04368932038834951,0.038154392191659274,0.044372830937035194,0.042105263157894736,0.03,0.024305555555555552,0.6644257703081232,0.736726765614105,0.7699794123151787,0.14512315531418687,1
165316,90230,2,201804,0.04368932038834951,0.038154392191659274,0.044372830937035194,0.042105263157894736,0.038,0.06076388888888889,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.14512315531418687,1
167793,90232,0,201804,0.04854368932038834,0.038154392191659274,0.043877045116509666,0.021052631578947368,0.014,0.016782407407407406,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.30090923303481565,1
167807,90232,1,201804,0.04854368932038834,0.038154392191659274,0.043877045116509666,0.031578947368421054,0.028,0.03356481481481481,0.6644257703081232,0.736726765614105,0.7699794123151787,0.30090923303481565,1
167821,90232,2,201804,0.04854368932038834,0.038154392191659274,0.043877045116509666,0.05263157894736842,0.044,0.05208333333333333,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.30090923303481565,1
170298,90247,0,201804,0.0,0.031943212067435674,0.0376797223599405,0.0,0.004,0.01099537037037037,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.08243565008147363,1
170312,90247,1,201804,0.0,0.031943212067435674,0.0376797223599405,0.0,0.022,0.029513888888888888,0.6644257703081232,0.736726765614105,0.7699794123151787,0.08243565008147363,1
170326,90247,2,201804,0.0,0.031943212067435674,0.0376797223599405,0.0,0.046,0.0474537037037037,0.7999999999999999,0.8933160673373842,0.9935295847704607,0.08243565008147363,1
172803,90248,0,201804,0.009708737864077669,0.019520851818988466,0.020575111551809615,0.0,0.002,0.004629629629629629,0.37198879551820724,0.42225321247136166,0.4618058340686078,0.21489790784564236,1
